ID,Source,Title,Content,Timestamp,Ours,Voicelab,Clarin,Textclass,Ner
1453,10570,medyczka,Swiad  lechtaczki i biala wydzielina!!,witam ostatnio mnie strasznie swedzi lechtaczka i od srodka wydobywa sie biala wydzielina w postaci drobnego piasku w dotyku gumowata niewiem co to jest w okolicy warg tych mniejszych tez od srodka jest na wargach niedaleko wejscia do pochwy. zaczelam to smarowac Clotrimazolum ale raczej nie ma poprawy. Prosze o jakas rade!!!!!!!,05-08-2014,"srodka
wejscia
mniejszych tez
wargach
postaci drobnego piasku","Clotrimazolum
lechtaczka
smarowanie
wydzielina","smarowac Clotrimazolum
lechtaczka
smarowanie
wydzielina
pszenica",zdrowie,
838,1060,medyczka,Usunięcie pieprzyka a podniesienie wargi,"WitamMam 22 lata i chciałbym usunąć pieprzyk z twarzy pod nosem.Kiedyś miałem to zrobić ale jak usłyszałem, że lekarz będzie musiał go wyciąć i zszywać i może mi się przez to warga czy usta podnieść to zrezygnowałem bo nie chce żeby to gorzej wyglądało.Czytałem o opcji laserowej. Pytanie czy przy tej trzeba coś zszywać czy tylko nakładać maść po zabiegu? Po prostu nie chcę żeby coś mi się podniosło czy opadło na buzi, wardze.Pozdrawiamhttps://iv.pl/images/69125600495023193729.jpg",11-08-2019,"twarzy
zabiegu
pieprzyk
nosem
maść","laserowe usuwanie pieprzyku z twarzy pod nosem
pieprzyk z twarzy
zsz","wardze
zszywanie
pieprzyk z twarzy
chirurgia plastyczna",,
867,10609,medyczka,kilika99,Proszę o opinię na temat leku Rozex. Czy ktoś może używał?,30-07-2014,"opinię
temat leku rozex","Rozex
preparaty lecznicze
leki przeciwalkoholowe
leki zywno","leki rozex
lek Rozex","produkcja
zagranica",Rozex
1866,10611,medyczka,Daylette-pominięcie ostatniej aktywnej tabletki,"Witam, tabletki biorę codziennie ok 16.Q piątek zapomniałam wziąć ostatnią białą (aktywną) tabletkę i wzięłam dopiero w sobotę o 8 rano. W ulotce jest napisane, żeby przy pominięciu zażyć tabletkę, kiedy się o tym przypomni, wyrzucić tabletki placebo (zielone) i rozpocząć nowe opakowanie. Niestety nie miałam nowego opakowania, więc normalnie wzięłam tabletki placebo. Dzisiaj wezmę ostatnią, a miesiączki wciąż nie ma. Zastanawiam, czy po prostu przesunął mi się cykl, czy mam powody do obaw",30-07-2014,"tabletki
tabletkę
ostatnią białą
aktywną
napisane","tabletki placebo
tabletki zywnosciowe
zywienie","tabletka placebo
cykl
tabletka
opakowanie",,
1098,10671,medyczka,Ciaza a probiotyki,Witam jestem w 6 tygodniu ciazy a 4 sierpnia lecimy do Egiptu czy moge brac jakies probiotyki aby wzmocnic swoja flore bakteryjna?,22-07-2014,"wzmocnic
jakies probiotyki
flore bakteryjna
egiptu
tygodniu ciazy","bakterie
probiotyki
ciaza","probiotyka
flora bakteryjna
probiotyki
mieso
ciaza",zdrowie,Egipt
881,10684,medyczka,Duża ilość zwykłej wody we krwi - pytanie ciekawskiego,"Dzieńdobry, mam takie pytanie, temat nurtuje mnie od jakiegoś czasu i nie mogę nigdzie znaleźć satysfakcjonującej, w miarę dokładnej odpowiedzi, z góry przepraszam za niedogodności; co by się działo ze stanem psychicznym i fizycznym zdrowego człowieka gdyby mu wstrzykiwać dożylnie co raz to kolejną dawkę zwykłej wody bez odstępów czasowych? Dzięki i pozdrawiam Jarek.",20-07-2014,"kolejną dawkę zwykłej wody
miarę dokładnej odpowiedzi
góry
fizycznym zdrowego człowieka
temat","dożylnie
wstrzykiwanie wody
wskaznik dożylny
","dożylnie
woda bez odstępów czasowych
zywnosci fizyczne
zdrowie psychiczne
stan psychiczny",zdrowie,jarek
255,10688,medyczka,kręgosłup,"wyrostek poprzeczny spłaszczony bierze udział w tworzeniu stawu biodrowo-krzyżowego , co to znaczy?",19-07-2014,"udział
tworzeniu stawu biodrowo-krzyżowego
wyrostek poprzeczny spłaszczony","staw biodrowo-krzyżowy
wyrostek poprzeczny spłaszczony","staw biodrowy
staw biodrowo-krzyżowy
wyrostek poprzeczny",ekonomia,
1175,10708,medyczka,"Ostry,przeszywający ból w okolicy żołądka","Witam, od czterech dni boli mnie brzuch w okolicy żołądka, mam wrażenie,że to i sam żołądek jak jego okolice. Ból jest zazwyczaj krótki ale silny, przeszywający, ściskający, rwący. Pierwszego i drugiego dnia ból był bardzo silny, nieznacznie pomagało jak leżałam na brzuchu. Nie wiem czy to może mieć wpływ, ale pierwszego dnia bólu dostałam okresu (cykl regularny). Miałam lekką biegunkę. Trzeciego dnia ból stał sie trochę mniej dokuczliwy, ale dostałam znów biegunki o kolorze żółto - zielonej. Dziś jest czwarty dzień, ból jest coraz mniej dokuczliwy lecz nadal odczuwalny, jakby ciągły ucisk. Nie jadłam zbyt tłustych czy ciężkostrawnych posiłków. Tylko drugiego dnia zazylam Espumisan i Manti. Nie wiem czy to może mieć wpływ, ale w dniu w którym mnie zaczęło boleć wypilam więcej alkoholu. W rodzinie matka umarła na raka, babcia ma cukrzyce, od 1,5 roku nie palę, alkohol pije średnio trzy, dwa razy w tygodniu w niewielkich ilościach, staram się zdrowo odżywiac. W przeciągu tych czterech dni waga spadła z 73,5 do 71.2 Czy powinnam się martwić, udać się do lekarza? Z góry dziękuję za odpowiedź. Pozdrawiam.",16-07-2014,"drugiego dnia ból
pierwszego
ból
silny
dokuczliwy","dieta
dieta zywnosciowa
ból
żołądek
","ból brzucha
zywienie czlowieka
wystepowanie
bolenie brzucha",,"Espumisan
Manti"
787,10715,medyczka,Problemy z lokciem,"Mialam maly wypadek okolo 3 miesiecy temu, spadlam ze szczudel na lewy lokiec. Jeden lekarz stwierdzil, ze to nowe zlamanie nadklykciowe oraz lekki odlam ( mialam juz 2 razy zlamana ta reke) wsadzil mi ja w gips na 3 tygodnie. Czulam sie dobrze, poszlam do ortopedy w innym miescie z pytaniem czy ten gips jest konieczny. On stwierdzil ze jest to tylko i wylacznie zbicie, a to co pokazuje zdjecie rendgenowskie to blizna. Nie skierowal mnie na dodatkowe zdjecie. W chwili obecnej reka mnie boli, strzela, gdy dotkne czuje przemieszczenie, nie moge jej do konca wyprostowac. Zaczela na nowo siniec. I tu pytanie, czy to jest normalne ? Lekarz mi powiedzial ze do skrzypienia to juz sie musze przyzwyczaic.",14-07-2014,"gips
zdjecie rendgenowskie
innym miescie
pytaniem
szczudel","gips
zlamanie nadklykciowe","gips
zlamanie nadklykciowe
gips",zagranica,
1442,10716,medyczka,dziwne stany paniki?,"witam, co kilka miesiecy od kilku lat np. podczas oglądania filmu, jazy pociagiem czy siedzenia przed komputerem mam dziwne stany - jakby lekowe. Jak byłem mały i chorowałem miałem wysokie gorączki. Podczas tych gorączek miałem straszne sny bliżej nie sprecyzowane. Teraz co jakiś czas wpadam w taki lęk który jest podobny do tych snów. Ostatnio zdarzają się coraz częściej. Czy powinienem udać się do specjalisty i co to może być?",14-07-2014,"komputerem
siedzenia
jazy pociagiem
dziwne stany
straszne sny","lęk
gorączki
sny","stres
lęk
choroba
sny
stres","zdrowie
zagranica",
1713,10738,medyczka,Białaczka u dzieci z zespołem Downa?,"Witam pisze prace licencjacka na temat dzieci z zespolem Downa i napotkałam się na problem a mianowicie białaczki. Chodzi o białaczkę przejściową występującą tuż po urodzeniu, a konkretnie transient abnormal myelopoiesis (TMD) informacje na temat tej bialaczki istnieja na zagranicznych stronach ,ale pod jaką nazwą funkcjonuje w Polsce. Z góry dziękuje za odp.",18-04-2014,"temat dzieci
informacje
bialaczki istnieja
tmd
transient abnormal myelopoiesis","białaczka przejściowa
transient abnormal myelopoiesis (TMD","transient abnormal myelopoiesis
białaczka przejściowa
zespół Downa",zagranica,"TMD
Polska"
1483,10749,medyczka,Leczenie z NFZ,"Dobry Wieczór,mam otóż takie pytanie. Chce syna zapisać na zabieg stulejki, jednak jesteśmy zarejestrowani u lekarza rodzinnego 150 km od Warszawy. Obecnie mieszkamy w Warszawie i chcielibyśmy wybrać się tutaj z nim do jakiegoś urologa. I pytanie brzmi następująco:1) Czy musimy wpierw udać się w swojej miejscowości do lekarza rodzinnego po skierowanie?2) Co trzeba zrobić, żeby móc w jakiejś konkretnej klinice warszawskiej, która współpracuje z NFZ skorzystać z tejże usługi bez płacenia?",08-07-2014,"lekarza rodzinnego
pytanie
warszawy
zarejestrowani
zabieg stulejki","leczenie stulejki
urolog
stulejka","rehabilitacja
lekarz rodzinny
stulejka
rehabilitacja",zdrowie,"Warszawa
Dobry Wieczór
NFZ"
975,10759,medyczka,ciąża,Dzień dobry wczoraj odebralam wynik beta hcg 0.297 co on oznacza bo za bardzo nie znam sie na tym dodam ze plamilam 27.05 a miesiaczke dostalam 30.05. w czerwcu takze plamilam przez 3 dni takie brazowe plamienie potem ze 3 dni przerwy i znowu plamilam na kremowy kolor przez dwa dni i mialam bol w krzyzu i do tej pory nie mam okresu a zamiast w spodziewanym dniu miesiaczki dostac ja dostalam rozwolnienia ktore trwalo 1 dzien mam bole glowy i lekkie zawroty i jestem bardzo senna dodam ze mam bole podbrzusza i on sie tak rozpiera na oby dwie strony,04-07-2014,"dni
bole glowy
bol
krzyzu
pory","beta hcg 0.297
bol w krzyzu
miesia","miesiaczka
beta hcg 0.297
miesieczke
plamienie","zdrowie
zagranica",
980,10762,medyczka,Psychika a nieudolność/bezradność lekarzy.,"Witam. Mam na imię Natalia. Od grudnia 2013r. dzieje się ze mną coś dziwnego. Zaczęło się to kiedy po dwókrotnym po upadku na kręgosłup na drugi dzień zasłabłam z bólu. Wezwane pogotowie odmówiło przyjazdu. Gdy udałam się do chirurga okazało się, że mam wysunięte trzy kręgi w odcinku lędźwiowym i uszkodzone dwa kręgi szyjne. Dostałam przeciwbólowo ketonal i rozkurczowo mydocalm. Działało na krótko. Niestety omdlenia występowały coraz częściej bez dolegliwości bólowych. Na szczęście szybko dochodziłam do siebie. Kiedy jednak straciłam przytomność nie obyło się bez pogotowia. Lekarza zaniepokoiło moje ciśnienie (60/54) i bardzo duże źrenice. Po jakimś czasie znów straciłam przytomność. Lekarz powiedział, że zanim to nastąpiło źrenice miałam jak szpileczki, a gdy mnie ocucono znów były nienaturalnie szerokie. W szpitalu wszyskie badania wyszły dobrze. Po tygodniu wróciłam do domu. Niestety było jeszcze gorzej. Coraz dłużej byłam nieprzytomna. Ratownicy podejrzewali padaczkę. W Opolu ją wykluczono i postawiono na psychikę. Po kolejnym zdarzeniu trafiłam do Wrocławia. Tam miałam pierwszy napad epi. Eeg nie wykazało zmian, natomiast rezonans, że mam torbiele w lewym placie skroniowym. Skierowano mnie na oddział kardiologiczny. Mam lekko niedomkniętą zastawkę aortalną trójpłatkową. Także skoki ciśnia. Najniższe i najwyższe skurczowe to: 54-190, rozkurczowe 42-120, ale nie przepisano żadnych leków. Wróciłam na neurologię. Zaraz po kolejnym napadzie powtórzono badanie eeg. Było nieprawidłowe. Wyładowania w lewej skroni. Postawiono diagnozę ""padaczka nieokreślona"". Pobierałam depakinę 500-0-500. Po ponad miesiącu było gorzej. Dwa napady pod rząd. W szpitalu badania wyszły dobrze i wróciłam do domu. Po tygodniu może dwóch miałam stan padaczkowy. 14 napadów. Stało się to w poniedziałek wieczorem, a ocknęłam się w środę rano. Eeg zrobiono dopiero po tygodniu, nic nie wykazało. Stwierdzono, że to może być na tle psychicznym, ale nie wycofano leku. Kiedy znów miałam stan padaczkowy (10 napadów) spędziłam w szpitalu ponad miesiąc. Lekarze stwierdzili, że skoro te leki mi nie pomagają to znaczy, że nie mam padaczki. Odstawiono je. Po kolejnych napadach eeg dwókrotnie wyszło nieprawidłowo. Wrócono leki i robiono badania, oczywiście wychodziły dobrze. Teraz jestem bez leków, napady występują tak raz na tydzień. Lekarze kierują mnie na psychiatrię. Nie godzę się, ale chodzę dwa razy w tygodniu",05-07-2014,"szpitalu wszyskie badania
tygodniu
eeg
lekarz
kręgi","badania diagnostyczne
padaczka
omdlenia
źrenice","źrenice
omdlenie
ból
rehabilitacja",zagranica,"Natalia
Opole
Wrocław"
275,10771,medyczka,problem z nogą,"witam miesiąc temu przwróciłam się w szpilkach bol byl straszny jednak po 4 dniach troche sie poleprzył ze byłam w stanie chodzic jednak bol jest cały czas chodz minoł już miesiąc ale co dziwne naj wiekszy bol mam jak mam buty płakie jak nosze szpilki czasem nie mam w cale bólu wystarzcy , że ściagne obcas a bol jest nie do zniesienia juz próbowalam rozruszac tą noge jak jestem na płaskich butach ale bol jest taki ze nie jestem w stanie zbytnio tego zrobic nie mam jakos jej spuchniętej jest tylko ten bol czy to jeszcze długo potrwa ?",04-07-2014,"szpilkach bol
miesiąc
stanie
minoł
dziwne naj wiekszy bol","bol wystarzcy
szpilki","buty płakie
bol
ściagne obcas
szpilki",sport,
237,10781,medyczka,zapomniałam 2 tabletek anty,mam taki problem zapomniałam 2 tabletek 6 i 7 a 3 dnia czyli 8 zazylam 2 ma raz rano a ta 3 chcialam zazyc wieczorem ale wystapilo u mnie krwawienie i teraz sama niewiem co mam robic . niewspolzylam ale niewiem kiedy bd zabezpieczona i czy powinnam odstawic pigulki i poczekac do normalnej miesiaczki czy brac dalej . juz sama niewiem . dodam ze biore tabletki dwuskladnikowe bez przerwy z tabletkammi placebo.,03-07-2014,"wystapilo
przerwy
zazyc wieczorem
biore tabletki dwuskladnikowe
krwawienie","tabletki placebo
tabletki dwuskladnikowe
miesiaczka
","biore
tabletki dwuskladnikowe
biore",zdrowie,
806,1080,medyczka,8===d~~~~ [{}],"Dzieńdobry,Mam pytanie jak powiekszyc sobie penis? najlepiej w 10 sekund??? I rzeby sie miesil w tóbie po chipsach.dziekuje",29-07-2019,"miesil
rzeby
tóbie
pytanie
penis","penis
penis w 10 sekund","chips
miesil
penis",,
1323,10841,medyczka,boli mnie dupa co robic;/,A wiec boli dupa co robic;/,20-06-2014,dupa,a wiec boli dupa co robic,"boli
dupa
bola
bialka
lesnictwo",,
140,10856,medyczka,Przewlekły ból pleców-pomocy.,"WItam.Doznałem kontuzji której nabawiłem się na siłowni a dokładniej wykonywałem ćwiczenie martwy ciąg, i najprawdopodobniej wykonywałem je źle technicznie, plecy miałem proste na pewno ale wykonałem przeprost(tak mi się wydaje).Po zakońcoznej serii odczułem ból w odcinku lędzwiowym nie jakiś mocny ale takie jakby spięcie mięśni z bólem przy schylaniu.Na następny dzień ból był dotkliwszy, bolało bolało poszedłem do lekarza powiedział ,że przejdzie i może boleć ok. 3 miesiące.Dziś mija ok 3 miesiące a plecy nadal bolą w prawdzie już nie bolą w normalnych czynnościach, ale przy schylaniu i podnoszeniu przedmiotów odczuwam ból, również przy rozciąganiu(np. zwisie na drążku). Ostatnio wykonywałem pracę fizyczną i znów ból powrócił, bolało dotkliwie przez kilka dni i znów to samo nie boli, ale jak coś podnosze to czuć.Co na to poradzić?Czy jakiś lekarz może m pomóc, gdzie warto się udać?Czy lekarz może wystawić jakieś zaświadczenie odnośnie doznanej kontuzji(chodzi mi o pracę, nie mogę dzwigać dużych ciężarów).Pozdrawiam i proszę o pomoc!",23-06-2014,"ból
schylaniu
plecy
pracę fizyczną
miesiące","ból w odcinku lędzwiowym
trening martwy ciąg","trening martwy ciąg
rehabilitacja
ból
siłownia",sport,
760,10860,medyczka,tabletki antykoncepcyjne a ciąża,"Witam! Ponad 2 lata brałam tabletki antykoncepcyjne i regularnie miesiączkowałam. Miałam półroczną przerwę i wróciłam do tabletek. Po pierwszym opakowaniu tab, nie pojawiła się miesiączka, spóźnia się już 3 tygodnie, czy to możliwe ze mogę być w ciąży? W trzecim tygodniu zapomniałam o jednej tabletce i zrobiłam siedmiodniowa przerwę tak jak zawsze po skończonym opakowaniu tabletek . Ostatnio złe sie czuje, co jakiś czas boli mnie podbrzusze, podobnie jak przed miesiączką, która i tak się nie pojawia. Z góry dziękuje za pomoc pozdrawiam",22-06-2014,"tabletek
półroczną przerwę
jednej tabletce
trzecim tygodniu
czas","ciąża
tabletki antykoncepcyjne","tabletki antykoncepcyjne
ciąża",zdrowie,
1792,1088,medyczka,Terapia tlenem,"Cześć, czy mieliście może przyjemność z marką OxyTerapia i jak w ogóle wypada terapia tlenowa przy leczeniu schorzeń neurologicznych. Pytam, bo byłam raz na sesji testowej, ale nie wiem jeszcze, czy opłaca się kontynuować współpracę. Co powiecie?",22-07-2019,"terapia tlenowa
ogóle
leczeniu schorzeń neurologicznych
marką oxyterapia
raz","OxyTerapia
terapia tlenowa","terapia tlenowa
OxyTerapia
choroby neurologiczne",zagranica,OxyTerapia
1749,10929,medyczka,Ból palców u rąk,"Witam mam 17 lat i od dłuższego czasu jakies 3-4 miesiące odczuwam silny ból palca wskazującego, najgorzej jest rano nie moge go zgiąć i bardzo boli, z czasem ból jakby ustawał palec sie rozrusza i po kilku godzinach jest juz lepiej ale palca nie moge zgjąc do końca. Co to może być ? Jak to wyleczyć ?",08-06-2014,"miesiące
silny ból palca wskazującego
palca
godzinach
dłuższego czasu jakies","ból palca wskazującego
ból palca
wyleczenie
wlasciwosci","palec wskazujący
ból palca
boli
tarcie",zdrowie,
962,10958,medyczka,Paski na udach,"Dzień dobry Od jakiegoś roku na udach mam takie dziwne prążki (jestem blada, a paski są jasno czerwone i jest ich dużo, a niektórych nie widać po kolarze tylko po wypukłościach na udzie), na początku nic z tym nie robiłam bo myślałam że jak się pojawiło to po jakimś czasie samo zniknie, jednak minęło już dużo czasu, a to dalej jest tak jak było, mogłabym nawet dodać, że mam wrażenie, iż jest tego więcej. Dodam, że mam dość masywne uda. Chciałabym się dowiedzieć co to jest, skąd to się wzięło lub przynajmniej jak się tego pozbyć, bo nie wygląda to ładnie. Może jak zacznę wykonywać jakieś ćwiczenia na uda i pośladki to magicznym sposobem się tego pozbędę? Nie byłam z tym u żadnego lekarza, bo nie bardzo wiem co bym miała powiedzieć. Bardzo proszę o odpowiedź lub informację do jakiego lekarza się ewentualnie z tym udać. Bardzo mi na tym zależy. Pozdrawiam.",07-06-2014,"pośladki
uda
lekarza
wypukłościach
udzie","paski na udzie
pośladki
ultradźwięki","ruchy na udach
pośladki
paski na udzie",,
